id,employee_id,department,perfomance_score,years_with_company,salary
176,36,aliquam non,15,176,97
177,43,quis,17,177,76
178,67,vestibulum aliquet,100,178,82
179,60,ut,9,179,77
180,7,a pede,98,180,41
181,6,nec nisi,41,181,11
182,82,orci,77,182,35
183,88,vestibulum proin,16,183,98
184,24,tincidunt in,66,184,56
185,82,sodales,5,185,81
186,7,velit,100,186,36
187,96,dui,27,187,77
188,100,amet consectetuer,61,188,52
189,25,lacinia,89,189,42
190,4,cursus urna,48,190,14
191,1,sed,28,191,6
192,97,eu magna,18,192,51
193,97,ut,22,193,45
194,63,quam sollicitudin,96,194,37
195,36,rhoncus,92,195,86
196,40,pede,36,196,40
197,80,duis,61,197,56
198,99,primis in,53,198,37
199,18,nunc,71,199,22
200,73,sed,16,200,84
201,92,nulla,1,201,12
202,60,blandit ultrices,100,202,38
203,76,id,34,203,46
204,79,morbi odio,63,204,29
205,6,amet,7,205,15
206,69,cubilia curae,91,206,29
207,74,nisi,4,207,81
208,93,pede libero,55,208,100
209,88,morbi,34,209,88
210,2,sit amet,72,210,68
211,33,aliquet,45,211,2
212,20,ornare imperdiet,45,212,22
213,41,cras in,49,213,63
214,37,lacus,63,214,58
215,45,dapibus,35,215,24
216,71,nulla,55,216,4
217,80,odio in,63,217,95
218,96,morbi,38,218,85
219,43,orci luctus,32,219,40
220,48,ultrices posuere,80,220,90
221,66,molestie,28,221,6
222,28,tortor eu,81,222,67
223,18,elementum,38,223,61
224,89,etiam justo,72,224,24
225,7,faucibus,78,225,20
226,7,pellentesque eget,12,226,16
227,90,dictumst aliquam,70,227,42
228,19,lectus in,45,228,91
229,52,proin,90,229,82
230,30,eu,19,230,8
231,40,nulla justo,36,231,9
232,62,ornare,53,232,91
233,79,elementum ligula,20,233,43
234,8,suspendisse,57,234,35
235,73,convallis,1,235,7
236,87,vel lectus,86,236,35
237,31,lectus suspendisse,66,237,13
238,40,vestibulum,91,238,27
239,35,integer aliquet,60,239,7
240,74,sed,27,240,19
241,61,convallis nulla,87,241,54
242,7,justo eu,37,242,72
243,22,eget elit,47,243,16
244,81,turpis sed,71,244,87
245,4,sed,51,245,80
246,24,odio,83,246,64
247,31,ridiculus,70,247,73
248,29,in,2,248,2
249,49,proin,62,249,58
250,22,quisque erat,18,250,92
251,83,odio condimentum,26,251,48
252,4,amet diam,85,252,84
253,36,quisque,73,253,43
254,72,varius,99,254,42
255,81,sapien urna,44,255,63
256,24,a,65,256,94
257,15,sapien,92,257,40
258,54,non mauris,31,258,39
259,2,sit,20,259,12
260,64,ipsum dolor,40,260,43
261,44,luctus cum,9,261,98
262,62,tincidunt,6,262,97
263,82,sapien,71,263,84
264,32,nisl nunc,15,264,31
265,18,fusce lacus,51,265,56
266,22,gravida nisi,49,266,81
267,42,vestibulum velit,72,267,79
268,1,luctus,89,268,57
269,13,nec sem,37,269,18
270,97,amet lobortis,1,270,31
271,85,hac habitasse,84,271,38
272,71,nonummy maecenas,26,272,32
273,8,lectus,40,273,68
274,58,sed nisl,88,274,51
275,4,accumsan,29,275,74
276,39,congue,81,276,11
277,71,nulla,71,277,74
278,51,morbi,36,278,77
279,91,ac neque,94,279,48
280,11,eget,74,280,91
281,77,dui nec,1,281,98
282,33,nam tristique,70,282,57
283,30,nulla,45,283,39
284,3,risus,95,284,32
285,86,aenean lectus,14,285,80
286,15,habitasse platea,95,286,47
287,3,mauris,19,287,48
288,43,leo,91,288,14
289,89,vel est,99,289,44
290,37,suspendisse ornare,82,290,53
291,46,tortor risus,9,291,35
292,87,luctus,74,292,75
293,51,nulla facilisi,67,293,56
294,79,diam,2,294,16
295,5,lorem,24,295,87
296,56,erat,97,296,10
297,41,ipsum,41,297,4
298,58,id,94,298,40
299,98,etiam,63,299,25
300,8,curae duis,55,300,47
301,70,in,68,301,91
302,13,sapien a,1,302,57
303,24,gravida,11,303,73
304,70,ac,74,304,6
305,90,eu,53,305,51
306,49,tellus nisi,67,306,22
307,40,parturient montes,68,307,1
308,84,turpis,47,308,69
309,44,duis ac,92,309,78
310,73,varius,98,310,87
311,24,ultrices,25,311,23
312,91,nulla,32,312,18
313,29,id sapien,8,313,20
314,29,platea,54,314,64
315,78,lacinia,23,315,15
316,75,platea dictumst,76,316,81
317,11,sit,34,317,30
318,11,ac enim,82,318,9
319,32,odio elementum,30,319,92
320,8,accumsan,20,320,93
321,2,habitasse,43,321,43
322,28,nulla elit,49,322,26
323,84,sed,44,323,17
324,22,tincidunt in,2,324,75
325,64,eu nibh,42,325,60
326,74,duis bibendum,98,326,51
327,12,quis,22,327,44
328,28,nisl nunc,35,328,100
329,22,sem sed,14,329,79
330,75,interdum,96,330,66
331,60,tempor turpis,33,331,46
332,70,proin eu,57,332,82
333,3,nisi,11,333,27
334,26,eget,54,334,100
335,71,diam,42,335,50
336,37,sit,93,336,30
337,91,justo in,63,337,96
338,13,magnis dis,22,338,47
339,51,bibendum,6,339,35
340,12,cras,49,340,38
341,69,eleifend,39,341,29
342,4,blandit,34,342,68
343,88,odio,74,343,46
344,51,augue,9,344,39
345,19,diam erat,55,345,64
346,22,in ante,68,346,9
347,94,blandit mi,84,347,33
348,96,gravida sem,34,348,56
349,70,condimentum neque,23,349,50
350,56,non,16,350,8
351,100,pede justo,31,351,34
352,32,lorem,11,352,95
353,56,scelerisque,57,353,10
354,60,nisl,38,354,58
355,48,semper,45,355,59
356,42,pulvinar,99,356,21
357,10,quisque id,59,357,91
358,83,habitasse platea,13,358,70
359,18,aliquet pulvinar,47,359,55
360,70,ac est,22,360,91
361,15,vestibulum,97,361,1
362,35,sit,24,362,60
363,35,etiam,30,363,65
364,95,dolor,3,364,26
365,88,velit,82,365,48
366,74,quam,68,366,30
367,56,aliquet,100,367,30
368,29,felis,57,368,83
369,54,vel est,56,369,70
370,24,arcu,84,370,66
371,49,vestibulum,82,371,13
372,81,praesent,48,372,45
373,13,suspendisse,88,373,43
374,62,cursus vestibulum,51,374,60
375,68,sed augue,28,375,85
376,70,vestibulum,19,376,36
377,79,vestibulum,78,377,71
378,40,est donec,33,378,33
379,3,pharetra,81,379,91
380,9,non velit,27,380,1
381,57,platea dictumst,42,381,80
382,71,ante ipsum,46,382,37
383,18,posuere cubilia,8,383,78
384,23,a suscipit,84,384,90
385,26,sit amet,35,385,76
386,98,lobortis,81,386,52
387,43,elementum nullam,35,387,68
388,55,aliquet ultrices,71,388,95
389,30,hac habitasse,78,389,60
390,66,vivamus vel,96,390,87
391,51,libero quis,15,391,40
392,26,vitae,88,392,46
393,80,vulputate,97,393,2
394,32,volutpat in,39,394,18
395,61,justo eu,45,395,79
396,23,in,56,396,48
397,27,scelerisque mauris,99,397,33
398,88,in faucibus,85,398,60
399,14,non lectus,46,399,100
400,30,sem fusce,80,400,53
401,17,in faucibus,84,401,66
402,46,duis consequat,7,402,84
403,7,in felis,25,403,82
404,45,nulla facilisi,70,404,14
405,88,commodo,81,405,36
406,62,sit,26,406,1
407,48,sed,29,407,19
408,70,ultrices,19,408,45
409,19,vestibulum,33,409,11
410,6,adipiscing,28,410,90
411,12,erat,77,411,53
412,68,sapien,42,412,6
413,57,sed augue,87,413,1
414,93,odio,59,414,44
415,57,vitae,78,415,22
416,58,quis,100,416,68
417,79,turpis,79,417,24
418,90,quam,87,418,4
419,19,eleifend donec,15,419,28
420,12,vel,17,420,87
421,11,interdum,15,421,69
422,4,lectus pellentesque,61,422,3
423,26,maecenas,58,423,63
424,45,aenean lectus,4,424,45
425,57,hac habitasse,2,425,14
426,78,in sagittis,45,426,57
427,32,integer,78,427,62
428,68,hac,29,428,97
429,28,nullam orci,95,429,58
430,20,nunc commodo,33,430,78
431,20,dolor quis,64,431,13
432,85,molestie sed,19,432,25
433,11,ultrices enim,16,433,61
434,4,ut massa,44,434,77
435,59,aliquam,74,435,8
436,74,sollicitudin,29,436,65
437,40,aenean auctor,53,437,35
438,18,platea,49,438,16
439,71,ipsum,75,439,50
440,71,cras in,75,440,67
441,93,non,67,441,54
442,77,pretium,60,442,52
443,2,mattis,13,443,6
444,98,maecenas tristique,11,444,25
445,79,commodo,6,445,42
446,100,ligula,54,446,94
447,86,in,84,447,66
448,14,enim sit,51,448,7
449,55,volutpat eleifend,90,449,87
450,85,fusce,47,450,27
451,64,non lectus,34,451,91
452,57,interdum in,1,452,65
453,31,cras,60,453,89
454,66,venenatis,12,454,9
455,19,tincidunt nulla,91,455,49
456,41,cum sociis,68,456,10
457,54,placerat ante,44,457,68
458,78,vestibulum vestibulum,21,458,17
459,64,nisi,90,459,37
460,58,consequat ut,30,460,83
461,26,eget semper,14,461,24
462,72,lacinia erat,10,462,92
463,45,diam,77,463,72
464,68,mi,34,464,60
465,1,nulla,69,465,2
466,75,massa quis,74,466,17
467,77,posuere cubilia,43,467,79
468,17,aenean auctor,52,468,37
469,53,eros viverra,78,469,33
470,47,magna vestibulum,77,470,78
471,60,sed,4,471,87
472,97,in congue,20,472,68
473,16,ut odio,22,473,72
474,95,a,2,474,27
475,85,et,66,475,52
476,54,sapien non,11,476,27
477,31,sed,84,477,99
478,7,et,58,478,92
479,30,duis,41,479,23
480,94,feugiat,43,480,20
481,48,pulvinar,50,481,32
482,40,mi pede,43,482,48
483,95,mattis nibh,28,483,67
484,28,faucibus,33,484,45
485,72,amet,65,485,28
486,68,praesent id,88,486,44
487,62,elit proin,35,487,69
488,88,parturient,87,488,31
489,36,vestibulum,45,489,40
490,15,lorem quisque,71,490,35
491,73,ipsum primis,58,491,44
492,88,vestibulum,90,492,63
493,65,sapien arcu,97,493,10
494,79,lacinia,26,494,64
495,96,eget massa,31,495,26
496,44,pede,67,496,25
497,6,nec dui,62,497,57
498,31,eget semper,9,498,13
499,48,sit amet,25,499,81
500,97,vestibulum sed,70,500,87
501,23,fusce,100,501,7
502,43,ut nulla,21,502,97
503,73,ac nibh,31,503,24
504,14,vitae,26,504,10
505,88,ligula,65,505,9
506,61,parturient,84,506,36
507,76,mattis pulvinar,94,507,68
508,54,sed justo,27,508,36
509,67,eu,6,509,25
510,81,sollicitudin,13,510,92
511,89,lacinia eget,32,511,63
512,52,lobortis,13,512,73
513,26,gravida,53,513,87
514,12,a pede,6,514,66
515,86,justo,5,515,31
516,3,quam turpis,29,516,46
517,40,fringilla rhoncus,82,517,71
518,10,quis turpis,30,518,58
519,77,lectus vestibulum,75,519,4
520,59,est et,31,520,65
521,8,pulvinar nulla,22,521,41
522,83,cubilia curae,16,522,78
523,99,quam fringilla,47,523,25
524,15,proin interdum,22,524,37
525,60,habitasse platea,40,525,86
526,27,ligula,23,526,55
527,49,montes,54,527,24
528,91,pede,67,528,81
529,90,neque,38,529,55
530,87,consequat lectus,75,530,40
531,83,penatibus,24,531,22
532,11,aenean,56,532,1
533,36,dapibus,86,533,64
534,41,turpis,81,534,76
535,73,ante,21,535,74
536,54,amet,9,536,68
537,69,justo eu,49,537,63
538,68,rutrum,19,538,82
539,86,a nibh,95,539,94
540,63,eget rutrum,62,540,86
541,90,orci,61,541,98
542,73,in blandit,93,542,81
543,46,proin eu,69,543,69
544,2,sapien iaculis,83,544,95
545,56,nulla,93,545,44
546,95,id,100,546,48
547,92,nulla,71,547,99
548,49,et eros,86,548,96
549,67,varius,18,549,33
550,33,nullam porttitor,77,550,6
551,18,morbi,32,551,90
552,28,eu,20,552,84
553,84,dapibus,18,553,13
554,58,ut at,5,554,85
555,52,ac diam,56,555,38
556,7,lectus,53,556,26
557,81,etiam pretium,18,557,68
558,100,eleifend pede,8,558,43
559,37,posuere,10,559,27
560,5,congue etiam,86,560,86
561,93,ante nulla,72,561,85
562,98,tristique in,28,562,16
563,59,rhoncus sed,97,563,7
564,54,adipiscing molestie,87,564,43
565,37,neque aenean,57,565,82
566,6,dis parturient,91,566,48
567,60,eros elementum,63,567,69
568,13,justo,67,568,80
569,64,in,87,569,63
570,31,vitae ipsum,23,570,97
571,55,mauris,48,571,30
572,69,ut,8,572,32
573,9,non,3,573,55
574,98,turpis,36,574,58
575,45,fusce,28,575,84
576,45,platea,10,576,45
577,85,sapien,12,577,13
578,68,amet nunc,81,578,11
579,37,in,13,579,92
580,5,at nibh,2,580,75
581,26,turpis donec,24,581,63
582,25,condimentum curabitur,74,582,67
583,67,molestie,30,583,7
584,100,justo in,10,584,85
585,67,ipsum primis,70,585,51
586,14,luctus rutrum,76,586,55
587,57,est,80,587,32
588,79,felis,83,588,60
589,1,erat vestibulum,16,589,56
590,84,bibendum imperdiet,62,590,4
591,48,habitasse,91,591,55
592,45,eget elit,88,592,15
593,40,in,65,593,81
594,44,tempus vivamus,1,594,20
595,58,tristique,7,595,63
596,93,nisl,45,596,58
597,26,pulvinar,85,597,26
598,90,sed,96,598,24
599,37,et,68,599,96
600,99,magna,74,600,64
601,48,vestibulum,2,601,41
602,72,tempus sit,59,602,51
603,8,quisque erat,39,603,58
604,74,mattis odio,65,604,68
605,12,lorem,39,605,5
606,49,ipsum,11,606,48
607,10,hac habitasse,99,607,32
608,26,quisque ut,99,608,46
609,5,quis augue,59,609,65
610,73,orci,85,610,72
611,2,et,6,611,52
612,2,orci mauris,34,612,90
613,75,sed,24,613,22
614,26,a,63,614,29
615,79,elementum eu,2,615,22
616,16,iaculis justo,51,616,61
617,19,luctus et,39,617,61
618,37,nam,1,618,37
619,42,amet,87,619,38
620,11,curae mauris,76,620,10
621,87,consectetuer eget,81,621,95
622,59,donec diam,37,622,57
623,14,justo,90,623,64
624,3,quis orci,33,624,42
625,39,congue,84,625,85
626,86,dapibus nulla,16,626,90
627,48,molestie,63,627,87
628,7,ultrices,43,628,24
629,51,eget orci,24,629,22
630,90,odio condimentum,56,630,45
631,97,elementum,86,631,45
632,47,nulla,96,632,50
633,34,magna vulputate,30,633,99
634,17,pulvinar,18,634,78
635,49,consequat nulla,90,635,42
636,57,parturient,38,636,81
637,26,pede,55,637,71
638,9,in,81,638,67
639,100,massa,13,639,57
640,63,platea dictumst,24,640,40
641,28,in purus,21,641,94
642,18,nulla ut,95,642,80
643,32,vestibulum aliquet,28,643,92
644,8,phasellus id,25,644,34
645,97,amet consectetuer,93,645,37
646,25,iaculis,34,646,80
647,26,tristique in,89,647,89
648,25,commodo,28,648,15
649,55,curae mauris,12,649,28
650,23,at nunc,77,650,30
651,17,augue,47,651,32
652,27,tempus,13,652,44
653,92,sed,41,653,6
654,30,suspendisse potenti,31,654,61
655,53,at turpis,20,655,34
656,83,sem fusce,47,656,44
657,35,suscipit,49,657,17
658,8,aliquet,2,658,11
659,63,odio porttitor,79,659,88
660,93,nam,26,660,13
661,95,in,19,661,77
662,63,turpis,33,662,87
663,52,id consequat,13,663,45
664,18,vel nisl,25,664,86
665,30,mauris lacinia,86,665,73
666,94,nibh,18,666,100
667,77,bibendum morbi,29,667,89
668,91,in,50,668,55
669,77,nisi vulputate,35,669,81
670,11,rhoncus aliquam,71,670,59
671,68,sed magna,39,671,2
672,13,blandit,100,672,20
673,13,interdum,97,673,15
674,99,eget,79,674,67
675,11,nulla,12,675,21
676,35,fusce,56,676,8
677,48,aliquet massa,76,677,46
678,47,sapien urna,24,678,44
679,22,eros,64,679,59
680,34,sed,70,680,15
681,36,sit,90,681,70
682,17,vestibulum,41,682,22
683,46,vehicula condimentum,97,683,4
684,2,proin eu,33,684,21
685,19,cursus vestibulum,26,685,79
686,21,in faucibus,82,686,14
687,16,ligula,72,687,11
688,26,sem,45,688,88
689,39,est et,3,689,21
690,25,massa,43,690,57
691,47,ligula,100,691,51
692,23,nulla,42,692,27
693,23,ligula sit,58,693,88
694,47,vehicula condimentum,9,694,48
695,33,ligula,25,695,26
696,70,elit,36,696,100
697,6,integer,97,697,18
698,95,tortor,87,698,86
699,93,erat,87,699,40
700,46,vestibulum ante,54,700,17
701,6,posuere,3,701,63
702,74,justo,50,702,49
703,36,lobortis sapien,11,703,98
704,79,duis,79,704,69
705,48,integer,57,705,42
706,98,non,67,706,49
707,12,in quis,63,707,32
708,14,ut,52,708,40
709,24,donec,6,709,36
710,83,eget tincidunt,89,710,58
711,83,enim sit,100,711,85
712,7,viverra,89,712,36
713,43,commodo vulputate,25,713,80
714,52,turpis,24,714,6
715,60,nullam orci,69,715,29
716,29,hac,9,716,73
717,82,amet consectetuer,97,717,92
718,27,cras pellentesque,92,718,40
719,77,donec dapibus,86,719,13
720,44,fusce,47,720,35
721,20,pharetra,45,721,69
722,21,turpis,41,722,22
723,13,vitae consectetuer,66,723,91
724,68,id,54,724,35
725,21,pellentesque quisque,29,725,11
726,47,sed vestibulum,29,726,5
727,13,leo,22,727,16
728,75,vulputate,60,728,33
729,11,pede,76,729,69
730,29,non,55,730,79
731,90,tellus,17,731,97
732,23,id,58,732,40
733,6,primis,3,733,19
734,78,lacinia,58,734,60
735,85,non sodales,50,735,12
736,37,morbi sem,36,736,31
737,9,eget,5,737,65
738,55,sem,11,738,6
739,1,volutpat,40,739,29
740,9,suspendisse,90,740,77
741,81,lorem id,33,741,88
742,37,curabitur,33,742,46
743,79,posuere felis,76,743,9
744,96,ante,28,744,31
745,10,amet,50,745,63
746,12,ut massa,100,746,35
747,82,odio,67,747,37
748,68,in faucibus,42,748,69
749,79,phasellus,52,749,36
750,42,tristique,71,750,20
751,4,aliquam erat,52,751,65
752,52,et tempus,48,752,41
753,14,duis mattis,20,753,59
754,64,diam,68,754,56
755,12,sed,32,755,9
756,9,augue quam,88,756,3
757,40,tortor risus,18,757,61
758,78,ac,64,758,19
759,99,nisl,99,759,91
760,63,magna ac,29,760,54
761,84,amet,53,761,5
762,42,ante nulla,4,762,61
763,97,mi,58,763,43
764,41,justo pellentesque,73,764,48
765,21,consequat lectus,55,765,63
766,20,eleifend,86,766,61
767,16,non,45,767,70
768,72,nibh in,6,768,64
769,26,blandit,17,769,22
770,55,vitae,3,770,21
771,15,risus,97,771,57
772,4,et tempus,98,772,42
773,31,ligula in,17,773,51
774,99,ac,54,774,66
775,99,sapien,37,775,82
776,46,adipiscing,19,776,33
777,55,dictumst,67,777,70
778,49,tortor id,66,778,99
779,20,nulla suspendisse,76,779,21
780,88,nam,82,780,40
781,96,quam fringilla,23,781,86
782,72,erat tortor,33,782,71
783,32,libero,54,783,55
784,81,accumsan tortor,49,784,67
785,26,volutpat eleifend,33,785,87
786,52,in,43,786,58
787,24,nec,13,787,92
788,92,consequat,2,788,78
789,73,nullam,57,789,10
790,93,erat,41,790,66
791,84,eros viverra,58,791,86
792,87,aliquam erat,13,792,72
793,4,elementum ligula,74,793,91
794,28,vestibulum,75,794,68
795,81,quam suspendisse,77,795,21
796,3,hendrerit at,63,796,36
797,57,dapibus,67,797,26
798,94,justo in,1,798,45
799,60,tortor,49,799,19
800,50,aliquet,67,800,59
801,37,turpis,87,801,37
802,75,diam vitae,98,802,81
803,82,in,90,803,38
804,83,fermentum,94,804,30
805,75,nunc,67,805,14
806,36,aliquet,2,806,79
807,16,odio,28,807,56
808,1,nascetur,20,808,88
809,98,quis,93,809,61
810,6,mauris eget,97,810,56
811,19,nulla ultrices,69,811,49
812,65,felis,64,812,67
813,45,pede,18,813,54
814,12,molestie nibh,10,814,15
815,52,luctus,5,815,87
816,25,elementum in,2,816,51
817,39,non,100,817,32
818,85,in,31,818,72
819,18,lorem integer,10,819,5
820,72,adipiscing,81,820,39
821,27,parturient montes,41,821,55
822,36,rhoncus sed,48,822,50
823,91,ultrices,81,823,78
824,8,in,88,824,66
825,98,erat,28,825,94
826,50,mauris,15,826,97
827,32,id nisl,10,827,83
828,38,donec,100,828,91
829,88,donec diam,84,829,47
830,18,justo aliquam,49,830,65
831,76,mollis,41,831,86
832,55,penatibus,9,832,78
833,73,augue,61,833,52
834,28,mollis molestie,85,834,28
835,91,consectetuer adipiscing,5,835,88
836,91,etiam pretium,27,836,61
837,81,faucibus orci,54,837,72
838,49,justo in,61,838,88
839,70,faucibus,62,839,17
840,21,iaculis justo,29,840,28
841,15,convallis tortor,49,841,72
842,9,ipsum primis,3,842,14
843,83,imperdiet nullam,88,843,75
844,90,ut dolor,48,844,78
845,40,erat id,43,845,4
846,29,et ultrices,22,846,24
847,16,id,77,847,6
848,17,ultrices erat,78,848,75
849,31,quis,68,849,28
850,31,praesent,14,850,95
851,20,faucibus,78,851,76
852,82,morbi non,49,852,9
853,43,lectus,56,853,45
854,13,maecenas,52,854,62
855,67,vel,63,855,80
856,18,in faucibus,55,856,50
857,45,ultrices phasellus,43,857,82
858,72,eget,59,858,79
859,17,in tempus,21,859,33
860,22,enim sit,83,860,97
861,65,eu,37,861,95
862,13,ut,93,862,28
863,23,pellentesque ultrices,91,863,63
864,46,pretium quis,41,864,96
865,4,rhoncus dui,64,865,52
866,40,augue quam,24,866,91
867,39,id,31,867,59
868,99,et,3,868,7
869,57,bibendum imperdiet,66,869,14
870,93,donec dapibus,81,870,84
871,68,bibendum,79,871,28
872,51,sed tincidunt,60,872,73
873,69,tincidunt,85,873,4
874,63,aliquet massa,24,874,70
875,69,a,50,875,29
876,36,ultrices libero,52,876,59
877,72,sodales,11,877,100
878,65,vivamus tortor,7,878,71
879,45,sit,93,879,13
880,27,scelerisque quam,31,880,15
881,75,nulla,21,881,65
882,51,nisi eu,30,882,68
883,46,sagittis,92,883,40
884,5,maecenas tristique,18,884,50
885,74,in,15,885,97
886,52,quisque,50,886,91
887,9,sollicitudin,30,887,15
888,13,quam suspendisse,19,888,76
889,72,eget semper,48,889,20
890,100,nunc donec,12,890,73
891,55,lacus curabitur,48,891,31
892,32,in blandit,5,892,7
893,38,nulla,76,893,100
894,34,quis,55,894,88
895,82,felis,39,895,58
896,76,sollicitudin,82,896,11
897,46,eleifend,50,897,76
898,92,amet,15,898,34
899,83,in,77,899,81
900,31,est,14,900,25
901,58,ligula in,38,901,45
902,46,elementum nullam,4,902,2
903,99,sed vestibulum,20,903,50
904,17,magnis,51,904,79
905,81,ultrices vel,5,905,80
906,2,consequat,64,906,79
907,55,ipsum,77,907,11
908,19,erat,9,908,83
909,87,et magnis,67,909,83
910,16,rutrum,37,910,42
911,53,consectetuer eget,64,911,45
912,97,imperdiet,48,912,61
913,26,a,13,913,22
914,94,blandit,1,914,39
915,2,quis,74,915,85
916,53,non,51,916,94
917,44,rutrum,41,917,33
918,18,etiam vel,18,918,79
919,87,integer,22,919,96
920,54,id,88,920,47
921,94,condimentum curabitur,79,921,1
922,52,curabitur,53,922,94
923,92,suspendisse accumsan,29,923,77
924,45,porta,87,924,35
925,14,ligula,61,925,28
926,60,montes nascetur,98,926,79
